"treatment","response","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","trait","contam","spikeFac","contam_spike"
"Saline Control",14.537358122902,1.6758853607587,50,11.5325385366702,18.32508779585,1,23.2190480975064,1.9402160118031e-28,"plant_height4","saline","0","saline-0"
"10SL1-RW-P",16.9803694975511,2.99015944599337,50,11.9217036278537,24.1855490854264,1,16.0825504967096,2.11207201071804e-21,"plant_height4","RW","1","RW-1"
"11SL1-RW-P",7.91045989346518,1.39299303092362,50,5.55383429221114,11.267058474157,1,11.7447118657262,5.4744528663796e-16,"plant_height4","RW","1","RW-1"
"12SL1-RW-P",14.7972724459828,2.60572680622021,50,10.3889786748784,21.0761113958303,1,15.3010688366731,1.68713551631199e-20,"plant_height4","RW","1","RW-1"
"19SL2-RW-P",9.22087258411689,1.62375025241205,50,6.47385854317819,13.1335108182295,1,12.6151720548989,3.71718300837284e-17,"plant_height4","RW","2","RW-2"
"1US-RW-P",10.3352985047272,1.81999516886416,50,7.25628295052873,14.7208144872622,1,13.2630913788272,5.34744035042344e-18,"plant_height4","RW","0","RW-0"
"20SL2-RW-P",15.4514610600415,2.72092619950026,50,10.8482762640533,22.0078879887204,1,15.5467355379495,8.71373938930884e-21,"plant_height4","RW","2","RW-2"
"21SL2-RW-P",15.9624771753084,2.81091362081877,50,11.2070542444822,22.7357405446388,1,15.7315063246082,5.32556514037542e-21,"plant_height4","RW","2","RW-2"
"28US-BS-P",17.0906347267917,3.00957660984401,50,11.9991194569765,24.342602506119,1,16.1193073184047,1.91866125939611e-21,"plant_height4","BS","0","BS-0"
"29US-BS-P",14.2669849794566,2.51234579484977,50,10.0166705213719,20.3208101903468,1,15.09382428875,2.96195563311747e-20,"plant_height4","BS","0","BS-0"
"2US-RW-P",11.2333085808277,1.97813032087227,50,7.88676451829678,15.9998718586503,1,13.7362350452633,1.34215115548536e-18,"plant_height4","RW","0","RW-0"
"30US-BS-P",16.831672112204,2.96397456871762,50,11.81730506582,23.9737558195198,1,16.0326025635224,2.40709082199822e-21,"plant_height4","BS","0","BS-0"
"37SL1-BS-P",11.9494400512588,2.10423754611207,50,8.38955140702083,17.0198751531739,1,14.0871879286646,4.90142350570696e-19,"plant_height4","BS","1","BS-1"
"38SL1-BS-P",15.979139480908,2.8138477707787,50,11.218752639452,22.7594730676569,1,15.7374309517883,5.24248141060595e-21,"plant_height4","BS","1","BS-1"
"39SL1-BS-P",13.9761498686368,2.46113116409808,50,9.81247885191105,19.9065667400195,1,14.9768657127347,4.07835694777132e-20,"plant_height4","BS","1","BS-1"
"3US-RW-P",14.6173590982546,2.57404495169711,50,10.2626637786907,20.8198564831659,1,15.2316002964478,2.03629423747888e-20,"plant_height4","RW","0","RW-0"
"46SL2-BS-P",16.0803252328961,2.83166608339849,50,11.2897938819136,22.9035943703062,1,15.7732774984772,4.76712468043417e-21,"plant_height4","BS","2","BS-2"
"47SL2-BS-P",6.60958204142154,1.16391484755824,50,4.64050433137962,9.41418683026941,1,10.7244363134652,1.45000364841252e-14,"plant_height4","BS","2","BS-2"
"48SL2-BS-P",13.4938243358262,2.3761960130588,50,9.47384416818735,19.2195788714324,1,14.7774270185072,7.06264110116861e-20,"plant_height4","BS","2","BS-2"
"55Control",15.1321654002799,2.66469980623841,50,10.6241028015213,21.5531074933348,1,15.428157953556,1.19764887812891e-20,"plant_height4","control","0","control-0"
"56Control",12.7291084241487,2.24153330697729,50,8.93694675498099,18.1303755875491,1,14.4461244461645,1.77697296325149e-19,"plant_height4","control","0","control-0"
"57Control",15.8109255203497,2.78422612072073,50,11.1006517356918,22.5198818738066,1,15.6773333061404,6.15015965045067e-21,"plant_height4","control","0","control-0"
"No treatment",10.0265958699292,1.76563415513135,50,7.03954671744906,14.2811218923639,1,13.0908893680111,8.90601654163552e-18,"plant_height4","no_treat","0","no_treat-0"
"Saline Control",0.720261980197304,0.0142715179915131,44,0.692066343158006,0.749606342291522,1,-16.5607444188441,1.59720249111638e-20,"chlorophyll_content4_mean","saline","0","saline-0"
"10SL1-RW-P",0.725328113217287,0.0219534400132157,44,0.682406263937597,0.770949652172974,1,-10.6099752811656,1.04242450345234e-13,"chlorophyll_content4_mean","RW","1","RW-1"
"11SL1-RW-P",0.704483307567177,0.0261146619289127,44,0.653770576544232,0.759129805541518,1,-9.44963066012873,3.71720860773096e-12,"chlorophyll_content4_mean","RW","1","RW-1"
"12SL1-RW-P",0.715485660651737,0.0216555393968694,44,0.673146246076925,0.760488131043893,1,-11.0613779877742,2.71858097370454e-14,"chlorophyll_content4_mean","RW","1","RW-1"
"19SL2-RW-P",0.747416831493645,0.0277061750999323,44,0.69361350027143,0.80539366633059,1,-7.85374152760391,6.54892160434686e-10,"chlorophyll_content4_mean","RW","2","RW-2"
"1US-RW-P",0.726192441158464,0.0269194030468589,44,0.673916962742174,0.782522908237649,1,-8.63088142721189,5.10400763554191e-11,"chlorophyll_content4_mean","RW","0","RW-0"
"20SL2-RW-P",0.713819786298596,0.0216051185293822,44,0.671578951120613,0.758717476867232,1,-11.1383936961483,2.16719479245077e-14,"chlorophyll_content4_mean","RW","2","RW-2"
"21SL2-RW-P",0.690291594384564,0.0208929928852885,44,0.649443058069337,0.733709413562027,1,-12.2457555822831,9.06252634426308e-16,"chlorophyll_content4_mean","RW","2","RW-2"
"28US-BS-P",0.713561310810563,0.0215972952753017,44,0.671335771118496,0.758442743840946,1,-11.1503594854687,2.09234259089686e-14,"chlorophyll_content4_mean","BS","0","BS-0"
"29US-BS-P",0.715707087411031,0.0216622413004478,44,0.673354569737337,0.760723485058095,1,-11.0511546218724,2.80178787380748e-14,"chlorophyll_content4_mean","BS","0","BS-0"
"2US-RW-P",0.663865253476418,0.0200931492292603,44,0.624580516220961,0.705620914081468,1,-13.5354449747247,2.73447410729754e-17,"chlorophyll_content4_mean","RW","0","RW-0"
"30US-BS-P",0.685345407320824,0.0207432870914288,44,0.644789565431459,0.728452122238438,1,-12.4833468551604,4.68119770084907e-16,"chlorophyll_content4_mean","BS","0","BS-0"
"37SL1-BS-P",0.633520387022886,0.0191747039170529,44,0.596031330591867,0.673367422439158,1,-15.081259135275,5.36192624104333e-19,"chlorophyll_content4_mean","BS","1","BS-1"
"38SL1-BS-P",0.712928246416878,0.0215781343728936,44,0.670740168797485,0.75776986109282,1,-11.1796847030938,1.91979882870898e-14,"chlorophyll_content4_mean","BS","1","BS-1"
"39SL1-BS-P",0.72281603704514,0.0218774072322592,44,0.680042841806118,0.768279571948787,1,-10.7246013424785,7.39163207714189e-14,"chlorophyll_content4_mean","BS","1","BS-1"
"3US-RW-P",0.704343715195551,0.0213183071474286,44,0.662663633817451,0.748645381786766,1,-11.5799340432787,5.99717446350932e-15,"chlorophyll_content4_mean","RW","0","RW-0"
"46SL2-BS-P",0.688917099426896,0.0208513911714548,44,0.648149899908539,0.732248465902316,1,-12.3116085320278,7.54083326108109e-16,"chlorophyll_content4_mean","BS","2","BS-2"
"47SL2-BS-P",0.734,0.0384790869720941,44,0.660406631190263,0.815794352381032,1,-5.89896397319536,4.74939427785672e-07,"chlorophyll_content4_mean","BS","2","BS-2"
"48SL2-BS-P",0.729047854662506,0.0220660250891202,44,0.685905886820249,0.77490335715298,1,-10.4409705216846,1.73587424630734e-13,"chlorophyll_content4_mean","BS","2","BS-2"
"55Control",0.723904917244218,0.0219103642701796,44,0.681067286681462,0.76943694031138,1,-10.6748668907204,8.5788837588404e-14,"chlorophyll_content4_mean","control","0","control-0"
"56Control",0.697358150206804,0.021106875687453,44,0.656091445012691,0.741220440163563,1,-11.9092489621706,2.33849581826855e-15,"chlorophyll_content4_mean","control","0","control-0"
"57Control",0.734116515273795,0.0222194377787011,44,0.69067460553925,0.780290825340202,1,-10.2120610530362,3.4835863343024e-13,"chlorophyll_content4_mean","control","0","control-0"
"No treatment",0.74568909219923,0.0276421291146118,44,0.692010133516682,0.803531906966659,1,-7.91617307234852,5.32408309417553e-10,"chlorophyll_content4_mean","no_treat","0","no_treat-0"
"Saline Control",8.38039940068083,1.02360055039372,50,6.55721332329975,10.7105092746303,1,17.4050844266447,7.30986697064305e-23,"leaf_number2","saline","0","saline-0"
"10SL1-RW-P",9.65489384605631,1.80136487196911,50,6.63738041418637,14.0442417582966,1,12.1530809519031,1.53123068188779e-16,"leaf_number2","RW","1","RW-1"
"11SL1-RW-P",4.61043629205847,0.860193608897936,50,3.16950346981416,6.70645197444007,1,8.19145063890643,8.42400032309548e-11,"leaf_number2","RW","1","RW-1"
"12SL1-RW-P",8.65349742184446,1.61452901750474,50,5.94895761856807,12.5875863354853,1,11.5661793300705,9.61987925192716e-16,"leaf_number2","RW","1","RW-1"
"19SL2-RW-P",5.42883523318982,1.01288665009724,50,3.73212230223922,7.89691483889481,1,9.06724769254252,3.89706518407605e-12,"leaf_number2","RW","2","RW-2"
"1US-RW-P",7.9581144157928,1.48478771328757,50,5.4709076660447,11.576065421085,1,11.1171838369324,4.04349420979292e-15,"leaf_number2","RW","0","RW-0"
"20SL2-RW-P",8.96280949311434,1.67223901499883,50,6.16159816298552,13.0375191443735,1,11.754415226468,5.30988641594948e-16,"leaf_number2","RW","2","RW-2"
"21SL2-RW-P",8.27677252914337,1.54424145153785,50,5.68997326677511,12.0395932084948,1,11.32761366597,2.05638489492882e-15,"leaf_number2","RW","2","RW-2"
"28US-BS-P",8.61773876012754,1.6078573338889,50,5.92437486864852,12.5355709225649,1,11.5439853974303,1.03211871755981e-15,"leaf_number2","BS","0","BS-0"
"29US-BS-P",7.11378660898013,1.3272569857757,50,4.89046370286427,10.3478858024171,1,10.5160463740241,2.87780234441918e-14,"leaf_number2","BS","0","BS-0"
"2US-RW-P",7.88373516310525,1.47091038070049,50,5.41977469629053,11.4678715638349,1,11.0668540692294,4.75724035804919e-15,"leaf_number2","RW","0","RW-0"
"30US-BS-P",9.00000000000002,1.67917784557975,50,6.18716525320241,13.0916173538561,1,11.7766091591082,4.9520673910058e-16,"leaf_number2","BS","0","BS-0"
"37SL1-BS-P",9.65489384605631,1.80136487196911,50,6.63738041418637,14.0442417582966,1,12.1530809519031,1.53123068188783e-16,"leaf_number2","BS","1","BS-1"
